Ticker
MMM
AOS
ABT
ABBV
ACN
ADBE
AMD
AES
AFL
A
APD
ABNB
AKAM
ALB
ARE
ALGN
ALLE
LNT
ALL
GOOGL
GOOG
MO
AMZN
AEE
AAL
AEP
AXP
AIG
T
AMT
AWK
AMP
AME
AMGN
APH
ADI
ANSS
AON
APA
AAPL
AMAT
APTV
ACGL
ADM
ANET
AJG
AIZ
TROW
AZO
BAC
BALL
BK
BBWI
BAX
BDX
BRK-B
BBY
BIO
TECH
BIIB
BLK
BX
BA
BKNG
BWA
BXP
BSX
BMY
AVGO
BR
CHRW
CDNS
CZR
CPB
COF
CAH
KMX
CCL
CARR
CTLT
CAT
CBOE
CBRE
CDW
CE
COR
CNC
CNP
CF
CRL
SCHW
CHTR
CVX
CMG
CB
CHD
CI
CINF
CTAS
CSCO
C
CFG
CLX
CME
CMS
KO
CTSH
CL
CMCSA
CMA
CAG
COP
ED
STZ
CEG
COO
CPRT
GLW
CTVA
COST
CTRA
CCI
CSGP
CSX
CMI
CVS
DHR
DRI
DVA
DE
DAL
XRAY
DVN
DXC
FANG
DLR
DFS
DG
DLTR
D
DPZ
DOV
DOW
DTE
DUK
EOG
EMN
ETN
EBAY
ECL
EIX
EW
EA
ELV
LLY
EMR
ENPH
EPRT
EFX
EQIX
EQT
ETR
EVRG
ES
EXC
EXPE
EXPD
FIS
FITB
FICO
FMC
FOXA
FOX
BEN
FCX
GD
GE
GIS
GM
GPC
GILD
GL
GPN
GS
HAL
HOG
HAS
HCA
HSIC
HES
HPE
HLT
HOLX
HD
HRL
HST
HWM
HPQ
HUM
HBAN
IEX
IDXX
ITW
ILMN
INCY
IR
INTC
ICE
IBM
IP
IPG
INTU
ISRG
IVZ
IQV
IRM
JBHT
JBL
JCI
JKHY
JPM
K
KMI
KSS
KEY
KEYS
KMB
KIM
KDP
KR
LHX
LRCX
LW
O
LVS
LDOS
LEN
LNC
LKQ
LOW
LYB
MTB
MA
MRO
MAR
MCK
MCHP
MSFT
MOH
MSI
MS
MOS
MSCI
NDSN
NSC
NTRS
NOC
NCLH
NVDA
NRG
NUE
NWSA
NWS
ODFL
OKE
OMC
ORCL
OGN
OXY
PPG
PAYC
PCAR
PCG
PEP
PRU
PEG
PH
PSX
PNR
PNW
POOL
PKG
PFE
PM
PNC
PPL
PGR
PLD
PBA
POR
PVH
QRVO
QCOM
QGEN
QSR
RCL
RE
REGN
RJF
RL
RHI
RMD
ROK
ROP
ROST
RTX
SPGI
SJM
SLB
STX
SRE
SHW
SNA
SO
STT
STLD
SYF
SYK
SYY
TGT
TEL
TMUS
TFX
TMO
TKR
TTWO
TJX
TOL
TRV
TXN
TXT
UAL
UDR
ULTA
UNP
UPS
URI
USB
UHS
VFC
VLO
VTR
VRSK
VRSN
VRTX
V
VZ
WM
WBA
WDC
WEC
WELL
WFC
WMB
WYNN
XEL
XOM
YUM
ZBH
ZTS
GEV
KVUE
LULU
OTIS
