ticker
SPY
QQQ
IWM
MDY
DIA
XLE
XOP
OIH
AMLP
FCG
XLB
SLX
GDX
GLD
SLV
DBC
XLI
ITA
XLY
XHB
IBUY
XLP
XLV
IBB
IHI
PPH
XLF
KBE
KRE
KIE
XLK
SMH
IGV
ARKK
ARKW
XLC
XLRE
ICLN
TAN
JETS
XLU
FUTY
VWO
KWEB
INDA
EWT
EWY
EWZ
EWW
TLT
IEF
SHY
IYR
SCHD
