ticker
AAPL
ABBV
ABT
AMAT
AMD
AMZN
APP
ASML
AVGO
AXP
AZN
BABA
BAC
BRK-A
BRK-B
C
CAT
COST
CRM
CSCO
CVX
GE
GOOG
GOOGL
GS
HD
HSBC
IBM
JNJ
JPM
KO
LLY
LRCX
MA
MCD
META
MRK
MS
MSFT
MU
NFLX
NVDA
NVS
ORCL
PEP
PG
PLTR
PM
RTX
RY
SAP
SHEL
SHOP
TM
TMO
TMUS
TSLA
TSM
UNH
V
WFC
WMT
XOM
